Step,Prey,Predators
0,41,10
1,39,10
2,43,9
3,41,9
4,44,9
5,47,7
6,52,7
7,53,4
8,58,4
9,61,4
10,65,2
11,73,2
12,76,3
13,81,3
14,89,4
15,99,4
16,105,5
17,111,4
18,117,5
19,131,4
20,137,4
21,148,6
22,159,6
23,166,8
24,184,7
25,194,8
26,207,10
27,229,10
28,252,10
29,264,10
30,292,11
31,316,10
32,344,13
33,371,12
34,399,16
35,438,13
36,472,17
37,504,16
38,542,20
39,582,25
40,639,32
41,669,35
42,723,44
43,773,44
44,818,51
45,872,58
46,925,63
47,979,66
48,1033,72
49,1113,84
50,1172,89
51,1235,102
52,1283,116
53,1340,145
54,1385,164
55,1406,193
56,1462,201
57,1494,220
58,1553,221
59,1560,251
60,1590,262
61,1608,295
62,1649,299
63,1703,303
64,1753,288
65,1806,290
66,1868,283
67,1903,288
68,1960,300
69,2035,307
70,2157,306
71,2025,302
72,2091,306
73,2158,320
74,2026,317
75,2055,328
76,2133,327
77,2052,328
78,2137,294
79,2043,278
80,2138,255
81,2055,240
82,2168,240
83,2071,251
84,2183,246
85,2090,233
86,2020,238
87,2110,231
88,2028,232
89,2137,238
90,2045,244
91,2147,246
92,2055,243
93,2177,240
94,2093,229
95,2025,224
96,2164,208
97,2092,206
98,2027,196
99,2131,200
100,2072,191
101,2200,195
102,2118,197
103,2058,200
104,2204,191
105,2158,164
106,2124,145
107,2089,123
108,2056,101
109,2004,97
110,2128,108
111,2081,117
112,2031,133
113,2131,134
114,2099,138
115,2050,127
116,2179,125
117,2143,123
118,2060,140
119,2176,171
120,2112,177
121,2048,193
122,2191,186
123,2147,181
124,2097,146
125,2050,129
126,2180,132
127,2121,135
128,2073,139
129,2165,155
130,2097,168
131,2031,186
132,2125,197
133,2075,187
134,2006,190
135,2144,167
136,2106,156
137,2047,142
138,2157,141
139,2091,161
140,2220,177
141,2139,193
142,2058,211
143,2103,230
144,2022,242
145,2153,227
146,2104,204
147,2053,162
148,2178,142
149,2129,134
150,2086,123
151,2043,119
152,2012,112
153,2172,100
154,2146,83
155,2110,86
156,2072,85
157,2027,96
158,2188,93
159,2149,98
160,2096,99
161,2043,112
162,2192,123
163,2149,127
164,2100,123
165,2055,128
166,2011,113
167,2176,127
168,2145,123
169,2113,117
170,2074,95
171,2016,103
172,2148,119
173,2107,124
174,2072,122
175,2013,120
176,2144,127
177,2107,125
178,2055,134
179,2179,132
180,2112,140
181,2060,153
182,2016,145
183,2140,141
184,2110,129
185,2053,134
186,2179,129
187,2153,132
188,2109,126
189,2049,121
190,2000,128
191,2148,125
192,2118,118
193,2089,104
194,2045,90
195,2005,93
196,2185,106
197,2150,108
198,2093,113
199,2043,126
