Step,Prey,Predators
0,42,10
1,42,10
2,41,8
3,42,8
4,42,9
5,51,6
6,51,6
7,54,5
8,58,5
9,63,6
10,67,3
11,74,3
12,79,3
13,86,3
14,95,4
15,100,2
16,111,3
17,123,2
18,138,2
19,148,1
20,164,2
21,182,2
22,201,2
23,228,1
24,252,1
25,282,1
26,308,1
27,341,1
28,382,2
29,414,2
30,446,4
31,487,4
32,540,5
33,595,4
34,656,6
35,712,7
36,780,9
37,845,11
38,927,12
39,990,17
40,1070,19
41,1179,25
42,1273,23
43,1383,34
44,1502,37
45,1614,50
46,1736,54
47,1876,65
48,2021,74
49,2164,81
50,2125,96
51,2072,102
52,2026,119
53,2153,118
54,2100,134
55,2039,133
56,2169,149
57,2112,147
58,2051,151
59,2183,154
60,2105,174
61,2019,187
62,2112,201
63,2007,225
64,2089,245
65,2179,252
66,2070,263
67,2110,278
68,2217,287
69,2071,312
70,2123,336
71,2180,354
72,2037,356
73,2064,358
74,2101,372
75,2186,371
76,2055,357
77,2062,370
78,2123,382
79,2001,382
80,2036,379
81,2060,368
82,2142,362
83,2027,342
84,2117,333
85,2034,293
86,2118,268
87,2017,267
88,2127,254
89,2059,244
90,2190,210
91,2127,185
92,2062,177
93,2195,175
94,2128,168
95,2070,179
96,2207,168
97,2144,177
98,2056,180
99,2158,198
100,2091,204
101,2041,194
102,2002,172
103,2163,140
104,2110,127
105,2048,127
106,2153,146
107,2090,165
108,2026,172
109,2171,176
110,2106,162
111,2032,169
112,2215,161
113,2171,149
114,2104,148
115,2028,151
116,2185,167
117,2145,157
118,2107,147
119,2070,127
120,2007,121
121,2150,134
122,2103,135
123,2057,142
124,2166,145
125,2109,145
126,2067,146
127,2011,135
128,2179,139
129,2127,135
130,2077,125
131,2016,135
132,2139,145
133,2062,170
134,2174,181
135,2132,186
136,2087,174
137,2058,139
138,2029,117
139,2208,96
140,2170,92
141,2111,98
142,2054,113
143,2001,126
144,2159,136
145,2125,125
146,2104,110
147,2061,91
148,2025,91
149,2147,104
150,2122,100
151,2070,112
152,2035,106
153,2015,105
154,2162,94
155,2117,89
156,2069,96
157,2046,89
158,2020,97
159,2182,79
160,2134,84
161,2098,86
162,2062,98
163,2188,113
164,2151,123
165,2109,119
166,2047,122
167,2196,135
168,2155,144
169,2094,150
170,2036,139
171,2161,149
172,2083,158
173,2014,182
174,2189,172
175,2158,167
176,2111,136
177,2069,122
178,2027,111
179,2192,115
180,2142,111
181,2090,116
182,2037,122
183,2160,136
184,2099,149
185,2027,158
186,2164,172
187,2116,166
188,2061,154
189,2000,140
190,2153,139
191,2101,142
192,2068,143
193,2010,126
194,2150,121
195,2115,113
196,2064,125
197,2009,123
198,2135,137
199,2089,135
