Step,Prey,Predators
0,46,10
1,52,10
2,51,7
3,53,7
4,54,9
5,56,6
6,56,6
7,57,4
8,56,5
9,61,5
10,63,5
11,67,6
12,70,4
13,78,4
14,87,2
15,93,2
16,104,3
17,114,3
18,127,3
19,137,3
20,147,3
21,162,4
22,180,3
23,191,4
24,209,4
25,227,4
26,245,5
27,274,4
28,300,6
29,323,6
30,362,9
31,402,7
32,436,10
33,458,10
34,492,13
35,539,13
36,584,15
37,643,15
38,700,16
39,747,17
40,796,16
41,856,21
42,930,21
43,998,25
44,1091,26
45,1184,26
46,1286,33
47,1408,37
48,1525,46
49,1639,50
50,1795,62
51,1949,64
52,2124,71
53,2082,80
54,2043,90
55,2201,100
56,2151,115
57,2086,123
58,2012,143
59,2130,169
60,2056,183
61,2168,203
62,2079,208
63,2150,236
64,2039,246
65,2110,288
66,2147,300
67,2028,324
68,2081,315
69,2144,337
70,2002,340
71,2023,374
72,2090,371
73,2147,380
74,2013,370
75,2045,377
76,2084,386
77,2141,385
78,2183,380
79,2028,389
80,2050,390
81,2122,381
82,2191,358
83,2034,369
84,2045,372
85,2147,363
86,2042,348
87,2123,328
88,2044,291
89,2124,274
90,2050,243
91,2162,231
92,2080,211
93,2013,199
94,2140,185
95,2073,181
96,2007,175
97,2116,174
98,2038,179
99,2168,195
100,2088,199
101,2197,216
102,2105,225
103,2021,236
104,2087,234
105,2011,235
106,2153,218
107,2087,203
108,2009,194
109,2108,201
110,2049,207
111,2133,221
112,2073,212
113,2003,219
114,2140,191
115,2065,179
116,2000,185
117,2129,185
118,2079,180
119,2038,164
120,2127,161
121,2081,154
122,2043,160
123,2011,132
124,2145,123
125,2102,106
126,2054,111
127,2005,112
128,2136,120
129,2102,119
130,2052,115
131,2003,119
132,2133,123
133,2081,128
134,2044,119
135,2003,110
136,2166,109
137,2126,108
138,2091,102
139,2056,93
140,2001,104
141,2111,119
142,2042,142
143,2167,164
144,2106,169
145,2024,184
146,2188,190
147,2146,182
148,2098,156
149,2064,126
150,2019,114
151,2192,102
152,2160,106
153,2112,105
154,2067,105
155,2025,113
156,2154,113
157,2114,119
158,2064,115
159,2179,131
160,2139,138
161,2103,142
162,2065,121
163,2013,115
164,2150,118
165,2102,126
166,2022,137
167,2154,162
168,2101,175
169,2011,190
170,2106,204
171,2076,185
172,2043,165
173,2186,116
174,2153,113
175,2096,109
176,2023,125
177,2113,158
178,2038,181
179,2187,189
180,2124,178
181,2063,171
182,2012,162
183,2146,160
184,2104,145
185,2060,141
186,2022,117
187,2172,126
188,2136,108
189,2092,110
190,2050,102
191,2003,111
192,2163,112
193,2127,107
194,2090,107
195,2062,98
196,2020,98
197,2170,97
198,2122,101
199,2070,123
