Step,Prey,Predators
0,42,10
1,48,10
2,50,5
3,55,5
4,61,5
5,70,4
6,74,4
7,86,1
8,100,1
9,108,1
10,123,1
11,142,1
12,157,1
13,173,1
14,193,1
15,214,2
16,231,2
17,267,3
18,305,2
19,343,3
20,376,2
21,418,3
22,460,2
23,517,3
24,579,2
25,632,3
26,701,2
27,781,2
28,869,2
29,968,2
30,1073,2
31,1224,4
32,1381,4
33,1555,5
34,1737,3
35,1954,3
36,2200,3
37,2198,3
38,2198,3
39,2196,2
40,2196,2
41,2195,2
42,2193,3
43,2191,4
44,2189,4
45,2187,4
46,2185,5
47,2183,6
48,2181,5
49,2178,5
50,2174,5
51,2171,5
52,2167,8
53,2163,9
54,2156,12
55,2152,12
56,2149,14
57,2140,13
58,2133,16
59,2126,15
60,2117,19
61,2108,17
62,2097,22
63,2087,21
64,2079,25
65,2067,24
66,2052,26
67,2035,28
68,2019,36
69,2001,42
70,2225,44
71,2215,39
72,2200,39
73,2176,39
74,2158,40
75,2140,44
76,2128,42
77,2110,40
78,2099,34
79,2086,35
80,2070,38
81,2052,36
82,2039,38
83,2028,35
84,2014,38
85,2238,34
86,2222,36
87,2205,37
88,2186,42
89,2169,41
90,2144,46
91,2121,49
92,2092,58
93,2068,60
94,2032,67
95,2269,74
96,2230,89
97,2189,96
98,2152,102
99,2113,100
100,2071,100
101,2029,101
102,2237,102
103,2206,101
104,2164,96
105,2136,88
106,2095,89
107,2052,91
108,2011,94
109,2179,97
110,2133,110
111,2083,111
112,2033,121
113,2240,121
114,2190,122
115,2143,121
116,2098,126
117,2038,125
118,2213,132
119,2143,142
120,2078,152
121,2005,155
122,2175,163
123,2100,167
124,2016,172
125,2153,185
126,2083,189
127,2241,197
128,2163,204
129,2083,210
130,2017,203
131,2216,193
132,2142,189
133,2032,191
134,2200,192
135,2127,206
136,2048,201
137,2199,209
138,2144,183
139,2077,180
140,2003,169
141,2170,172
142,2099,176
143,2031,173
144,2217,170
145,2153,168
146,2074,165
147,2028,167
148,2216,153
149,2174,151
150,2121,135
151,2087,129
152,2043,117
153,2005,102
154,2209,99
155,2165,104
156,2128,102
157,2073,104
158,2025,111
159,2195,120
160,2132,131
161,2066,137
162,2235,160
163,2185,159
164,2126,164
165,2068,151
166,2217,163
167,2162,164
168,2077,168
169,2257,175
170,2197,176
171,2121,185
172,2044,187
173,2200,194
174,2140,191
175,2080,176
176,2036,153
177,2197,145
178,2149,146
179,2112,125
180,2048,123
181,2223,125
182,2176,132
183,2099,138
184,2032,156
185,2185,162
186,2107,169
187,2023,176
188,2163,195
189,2104,185
190,2024,190
191,2185,174
192,2112,184
193,2029,177
194,2165,192
195,2080,196
196,2001,210
197,2123,213
198,2037,227
199,2168,227
